date,sample_id,g_ch4,g_n2o,g_co2,hrt,media,perc_removed,mgN_removed,pore_vol,week,rep,TOC,ammonia
6/23/23,CC-1-6,0.015606615,5.88E-06,9.71E-06,8,CC,49.75%,14.487,21,1,1,30.41,0.17
6/23/23,CC-2-6,0.018398739,3.19E-06,5.23E-06,8,CC,49.02%,14.274,21,1,2,16.05,0.0584
6/23/23,CC-3-6,0.018158845,2.86E-05,6.25E-06,8,CC,32.68%,9.515,21,1,3,12.56,0.1169
6/23/23,WC-4-6,0.078549258,3.17E-06,3.65E-06,8,WC,13.98%,4.07,21,1,4,9.018,0
6/23/23,WC-5-6,0.034962464,2.79E-07,3.82E-06,8,WC,16.90%,4.921,21,1,5,9.925,0.0151
6/23/23,WC-6-6,0.14702983,2.69E-07,2.26E-06,8,WC,13.87%,4.038,21,1,6,9.498,0
6/30/23,CC-1-7,0.157018166,3.66E-06,2.46E-06,8,CC,61.93%,16.665,42,2,1,28.83,0.0375
6/30/23,CC-2-7,0.013232725,3.92E-07,3.58E-07,8,CC,41.15%,11.075,42,2,2,17.77,0.1424
6/30/23,CC-3-7,0.039614102,5.45E-07,3.50E-06,8,CC,25.84%,6.955,42,2,3,14.06,0.3678
6/30/23,WC-4-7,0.027512586,6.32E-06,1.25E-06,8,WC,2.35%,0.633,42,2,4,103.39,0
6/30/23,WC-5-7,0.014499437,1.11E-06,5.56E-06,8,WC,6.49%,1.746,42,2,5,9.376,0.0549
6/30/23,WC-6-7,0.016335081,1.25E-05,3.41E-06,8,WC,7.77%,2.091,42,2,6,9.114,0
7/5/23,CC-1-8,0.012379812,4.43E-08,1.78E-07,8,CC,69.43%,21.027,63,3,1,48.7,0.1023
7/5/23,CC-2-8,0.017616679,1.27E-05,4.66E-06,8,CC,53.80%,16.293,63,3,2,20.12,0.0219
7/5/23,CC-3-8,0.035808894,2.59E-05,3.26E-06,8,CC,29.29%,8.869,63,3,3,15.07,0.3638
