"","reads.in","reads.out"
"TV_4CC_1_0_S253_L001_R1_001.fastq.gz",89066,6628
"TV_4CC_1_0W_S259_L001_R1_001.fastq.gz",11128,544
"TV_4CC_1_11_S266_L001_R1_001.fastq.gz",41532,3051
"TV_4CC_1_11W_S214_L001_R1_001.fastq.gz",275,24
"TV_4CC_1_14_S209_L001_R1_001.fastq.gz",65390,4780
"TV_4CC_1_14W_S261_L001_R1_001.fastq.gz",761,61
"TV_4CC_1_18_S243_L001_R1_001.fastq.gz",126232,9138
"TV_4CC_1_18W_S205_L001_R1_001.fastq.gz",153,8
"TV_4CC_1_21_S149_L001_R1_001.fastq.gz",23439,1896
"TV_4CC_1_21W_S250_L001_R1_001.fastq.gz",312,22
"TV_4CC_1_4_S146_L001_R1_001.fastq.gz",22743,1752
"TV_4CC_1_4W_S213_L001_R1_001.fastq.gz",642,52
"TV_4CC_1_7_S231_L001_R1_001.fastq.gz",94011,6846
"TV_4CC_1_7W_S260_L001_R1_001.fastq.gz",1425,87
"TV_4CC_2_0_S265_L001_R1_001.fastq.gz",87907,6602
"TV_4CC_2_0W_S271_L001_R1_001.fastq.gz",54621,4124
"TV_4CC_2_11_S364_L001_R1_001.fastq.gz",38594,2866
"TV_4CC_2_11W_S226_L001_R1_001.fastq.gz",606,39
"TV_4CC_2_14_S220_L001_R1_001.fastq.gz",111840,8120
"TV_4CC_2_14W_S273_L001_R1_001.fastq.gz",923,65
"TV_4CC_2_18_S255_L001_R1_001.fastq.gz",104769,7836
"TV_4CC_2_18W_S215_L001_R1_001.fastq.gz",96,4
"TV_4CC_2_21_S200_L001_R1_001.fastq.gz",42368,3179
"TV_4CC_2_21W_S262_L001_R1_001.fastq.gz",939,56
"TV_4CC_2_4_S208_L001_R1_001.fastq.gz",99164,7507
"TV_4CC_2_4W_S225_L001_R1_001.fastq.gz",1402,105
"TV_4CC_2_7_S242_L001_R1_001.fastq.gz",129168,9778
"TV_4CC_2_7W_S272_L001_R1_001.fastq.gz",2047,158
"TV_4CC_3_0_S363_L001_R1_001.fastq.gz",39937,3004
"TV_4CC_3_0W_S367_L001_R1_001.fastq.gz",4169,327
"TV_4CC_3_11_S199_L001_R1_001.fastq.gz",38242,2826
"TV_4CC_3_11W_S237_L001_R1_001.fastq.gz",597,44
"TV_4CC_3_14_S232_L001_R1_001.fastq.gz",65775,4886
"TV_4CC_3_14W_S88_L001_R1_001.fastq.gz",93,4
"TV_4CC_3_18_S267_L001_R1_001.fastq.gz",96564,7053
"TV_4CC_3_18W_S227_L001_R1_001.fastq.gz",752,64
"TV_4CC_3_21_S147_L001_R1_001.fastq.gz",16978,1262
"TV_4CC_3_21W_S274_L001_R1_001.fastq.gz",1845,123
"TV_4CC_3_4_S219_L001_R1_001.fastq.gz",89803,6736
"TV_4CC_3_4W_S236_L001_R1_001.fastq.gz",29700,2112
"TV_4CC_3_7_S254_L001_R1_001.fastq.gz",98423,7270
"TV_4CC_3_7W_S368_L001_R1_001.fastq.gz",2702,196
"TV_4INF_0_CCW_S203_L001_R1_001.fastq.gz",26852,1970
"TV_4INF_0_WCW_S256_L001_R1_001.fastq.gz",98828,7315
"TV_4INF_11_CCW_S249_L001_R1_001.fastq.gz",691,43
"TV_4INF_11_WCW_S211_L001_R1_001.fastq.gz",735,49
"TV_4INF_14_CCW_S276_L001_R1_001.fastq.gz",45,6
"TV_4INF_14_WCW_S275_L001_R1_001.fastq.gz",334,21
