"data_collected","sample_type","bioreactor_ID","influent_id","NOx_conc","NO2_conc","NO3_conc","Ammonia_ammonia_conc","DRP_conc","TOC_conc","pH","DO_conc","HRT","NO3_influent","NO3_removed","removal_efficiency"
"6/23/23","CC","1","6",14.823,0.1901,14.633,0.17,NA,30.41,6.769,7.8,"8",29.12,14.487,49.7493131868132
"6/23/23","CC","2","6",14.869,0.0235,14.846,0.0584,NA,16.05,7.169,8.48,"8",29.12,14.274,49.0178571428571
"6/23/23","CC","3","6",19.83,0.2245,19.605,0.1169,NA,12.56,7.053,7.29,"8",29.12,9.515,32.6751373626374
"6/23/23","WC","4","6",25.099,0.0483,25.05,NA,0.012,9.018,6.962,7.49,"8",29.12,4.07,13.9766483516484
"6/23/23","WC","5","6",24.215,0.0162,24.199,0.0151,0.002,9.925,6.971,7.4,"8",29.12,4.921,16.8990384615385
"6/23/23","WC","6","6",25.114,0.0321,25.082,NA,0.039,9.498,7.116,8.03,"8",29.12,4.038,13.8667582417582
"6/30/23","CC","1","7",10.258,0.0124,10.246,0.0375,NA,28.83,7.044,8.52,"8",26.911,16.665,61.9263498197763
"6/30/23","CC","2","7",15.86,0.0237,15.836,0.1424,0.002,17.77,7.155,8.03,"8",26.911,11.075,41.1541748727286
"6/30/23","CC","3","7",20.182,0.2254,19.956,0.3678,NA,14.06,7.061,7.08,"8",26.911,6.955,25.8444502248151
"6/30/23","WC","4","7",26.333,0.0545,26.278,NA,0.015,103.39,6.952,7.84,"8",26.911,0.633000000000003,2.35219798595371
"6/30/23","WC","5","7",25.182,0.0167,25.165,0.0549,NA,9.376,6.952,7.9,"8",26.911,1.746,6.48805321244102
"6/30/23","WC","6","7",24.913,0.0932,24.82,NA,0.015,9.114,6.986,8,"8",26.911,2.091,7.77005685407455
"7/5/23","CC","1","8",9.274,0.0169,9.257,0.1023,0.003,48.7,7.063,7.57,"8",30.284,21.027,69.4327037379474
"7/5/23","CC","2","8",14.03,0.0391,13.991,0.0219,0.002,20.12,7.537,9.39,"8",30.284,16.293,53.8006868313301
"7/5/23","CC","3","8",21.747,0.3311,21.415,0.3638,0.002,15.07,7.261,8.2,"8",30.284,8.869,29.286091665566
"7/5/23","WC","4","8",26.036,0.0837,25.952,0.0158,0.007,8.565,6.923,6.69,"8",30.284,4.332,14.3045832782988
"7/5/23","WC","5","8",25.662,0.0155,25.647,0.0849,0.002,9.388,7.4,7.99,"8",30.284,4.637,15.3117157574957
"7/5/23","WC","6","8",23.547,0.108,23.439,0.0152,0.012,8.13,7.07,7.68,"8",30.284,6.845,22.6026944921411
"7/14/23","CC","1","9",8.374,0.0377,8.336,0.0426,0.002,33.59,7.037,6.95,"8",29.396,21.06,71.6424003265751
"7/14/23","CC","2","9",8.197,0.158,8.039,0.0414,0.001,23.99,7.537,8.75,"8",29.396,21.357,72.6527418696421
"7/14/23","CC","3","9",22.437,0.4668,21.971,0.7469,0.01,13.6,7.221,7.43,"8",29.396,7.425,25.2585385766771
"7/14/23","WC","4","9",25.937,0.0988,25.838,0.0309,0.013,7.666,7.124,7.37,"8",29.396,3.558,12.103687576541
"7/14/23","WC","5","9",26.7,0.0131,26.687,0.1213,0.008,7.732,7.186,6.86,"8",29.396,2.709,9.21553952918764
"7/14/23","WC","6","9",26.35,0.0956,26.255,0.0186,0.019,7.171,7.15,8.25,"8",29.396,3.141,10.6851272281943
"7/21/23","CC","1","10",6.407,0.0122,6.395,0.0737,0.002,37.5,6.799,6.87,"8",29.204,22.809,78.1023147514039
"7/21/23","CC","2","10",8.629,0.1934,8.435,0.1547,0.003,27.81,7.304,8.55,"8",29.204,20.769,71.1169702780441
"7/21/23","CC","3","10",21.515,0.5985,20.917,0.7257,0.013,12.46,6.995,7.5,"8",29.204,8.287,28.3762498287906
"7/21/23","WC","4","10",27.497,0.1608,27.337,0.0492,0.012,7.017,6.933,8.06,"8",29.204,1.867,6.39295986851117
"7/21/23","WC","5","10",26.801,0.0225,26.778,0.2314,0.011,8.332,6.828,7.55,"8",29.204,2.426,8.30708122175045
"7/21/23","WC","6","10",27.018,0.2624,26.756,0.0443,0.017,7.747,6.805,8.26,"8",29.204,2.448,8.38241336803178
"7/28/23","CC","1","11",9.194,0.7269,8.468,0.02,0.004,32.79,7.005,7.6,"8",29.244,20.776,71.0436328819587
"7/28/23","CC","2","11",7.645,0.4056,7.239,0.0053,0.012,31.87,7.056,6.76,"8",29.244,22.005,75.2462043496102
"7/28/23","CC","3","11",21.797,0.321,21.476,0.3912,0.028,12.67,7.172,7.38,"8",29.244,7.768,26.5627137190535
"7/28/23","WC","4","11",26.939,0.1978,26.742,0.0046,0.031,7.438,6.929,6.32,"8",29.244,2.502,8.55560114895363
"7/28/23","WC","5","11",25.864,0.0237,25.84,0.0877,0.019,8.075,7.08,6.16,"8",29.244,3.404,11.6399945287922
"7/28/23","WC","6","11",25.324,0.2829,25.041,NA,0.029,8.394,6.993,5.96,"8",29.244,4.203,14.372178908494
"8/4/23","CC","1","12",5.136,0.0264,5.109,0.0788,0.003,37.5,7.058,6.83,"8",32.175,27.066,84.1212121212121
"8/4/23","CC","2","12",10.801,0.0097,10.791,0.0465,0.002,23.44,7.153,6.53,"8",32.175,21.384,66.4615384615385
"8/4/23","CC","3","12",21.593,0.4454,21.147,0.4071,0.01,12.69,7.206,8.04,"8",32.175,11.028,34.2750582750583
"8/4/23","WC","4","12",27.37,0.1769,27.193,0.0229,0.021,7.632,7.068,7.72,"8",32.175,4.982,15.4840714840715
"8/4/23","WC","5","12",25.81,0.0257,25.785,0.0672,0.006,8.112,7.149,8.1,"8",32.175,6.39,19.8601398601399
"8/4/23","WC","6","12",25.944,0.2121,25.732,NA,0.013,8.64,7.09,8.39,"8",32.175,6.443,20.024864024864
"8/11/23","CC","1","13",5.105,0.5229,4.582,0.0231,-0.001,36.92,6.487,8.6,"8",30.674,26.092,85.062267718589
"8/11/23","CC","2","13",10.444,0.0245,10.419,0.0579,-0.001,24.66,7.039,6.51,"8",30.674,20.255,66.0331225141814
"8/11/23","CC","3","13",21.334,0.3231,21.01,0.4253,-0.002,12.58,7.145,5.91,"8",30.674,9.664,31.5055095520636
"8/11/23","WC","4","13",26.446,0.1642,26.282,0.0325,0.013,7.35,7.109,7.67,"8",30.674,4.392,14.3183151854991
"8/11/23","WC","5","13",24.882,0.0197,24.863,0.1318,0.009,8.117,6.961,7.98,"8",30.674,5.811,18.9443828649671
"8/11/23","WC","6","13",25.342,0.1151,25.227,0.0315,0.018,8.884,6.962,7.57,"8",30.674,5.447,17.7577101127991
"8/18/23","CC","1","14",4.015,0.6204,3.395,0.0437,0.006,36.08,7.285,7.09,"8",29.28,25.885,88.4050546448087
"8/18/23","CC","2","14",7.999,0.0472,7.951,0.0562,0.001,27.92,7.236,8.48,"8",29.28,21.329,72.8449453551913
"8/18/23","CC","3","14",19.991,0.3117,19.68,0.363,0.017,12.75,7.13,7.01,"8",29.28,9.6,32.7868852459016
"8/18/23","WC","4","14",26.249,0.1253,26.124,0.0836,0.016,7.692,7.067,7.05,"8",29.28,3.156,10.7786885245902
"8/18/23","WC","5","14",23.545,0.0236,23.521,0.1379,0.006,10.3,6.92,7.92,"8",29.28,5.759,19.6687158469945
"8/18/23","WC","6","14",24.137,0.1265,24.011,0.0321,0.023,7.975,7.07,8.3,"8",29.28,5.269,17.995218579235
"8/25/23","CC","1","15",4.557,0.0986,4.458,0.0226,0.002,32.65,7.015,7.36,"8",28.089,23.631,84.1290184769839
"8/25/23","CC","2","15",6.299,0.0115,6.288,0.0377,0.002,29.74,7.217,8.09,"8",28.089,21.801,77.6140126027982
"8/25/23","CC","3","15",20.411,0.1872,20.224,0.3005,0.017,12.92,7.08,7.92,"8",28.089,7.865,28.000284809
"8/25/23","WC","4","15",26.304,0.1142,26.19,0.0656,0.025,7.348,6.945,8.19,"8",28.089,1.899,6.76065363665491
"8/25/23","WC","5","15",24.319,0.0274,24.291,0.2652,0.008,10.48,7.048,8.45,"8",28.089,3.798,13.5213072733098
"8/25/23","WC","6","15",24.429,0.3404,24.089,NA,0.02,13.67,7.022,8.23,"8",28.089,4,14.2404499982199
"9/1/23","CC","1","16",4.134,0.0717,4.063,0.1439,0.002,31.8,7.005,7.27,"8",30.412,26.349,86.6401420491911
"9/1/23","CC","2","16",7.758,0.0233,7.734,0.0129,0.002,32.45,7.207,645,"8",30.412,22.678,74.5692489806655
"9/1/23","CC","3","16",19.922,0.2092,19.713,0.3326,0.023,13.02,7.097,8.35,"8",30.412,10.699,35.180192029462
"9/1/23","WC","4","16",27.321,0.1141,27.207,0.0602,0.022,7.509,6.901,8.05,"8",30.412,3.205,10.5386031829541
"9/1/23","WC","5","16",24.329,0.0282,24.301,0.2582,0.033,10.12,6.894,8,"8",30.412,6.111,20.0940418255952
"9/1/23","WC","6","16",24.394,0.1444,24.25,0.0657,0.02,9.509,6.335,8.28,"8",30.412,6.162,20.2617387873208
"9/8/23","CC","1","17",4.222,0.0745,4.148,0.1531,0.003,34.69,7.075,7.71,"8",32.027,27.879,87.0484278889687
"9/8/23","CC","2","17",10.132,0.0167,10.115,0.2656,0.005,25.71,7.259,6.06,"8",32.027,21.912,68.4172729259687
"9/8/23","CC","3","17",24.531,0.2281,24.303,0.3186,0.049,9.871,6.944,8.29,"8",32.027,7.724,24.1171511537141
"9/8/23","WC","4","17",28.014,0.0973,27.917,0.1249,0.024,6.694,6.923,8.13,"8",32.027,4.11,12.8329222218753
"9/8/23","WC","5","17",25.544,0.0191,25.525,0.3499,0.005,9.653,7.009,8.09,"8",32.027,6.502,20.3016205076966
"9/8/23","WC","6","17",26.584,0.1462,26.438,0.0924,0.025,8.042,6.995,8,"8",32.027,5.589,17.4509008024479
"9/15/23","CC","1","18",3.041,0.2992,2.742,0.0475,0.001,33.47,7.764,9.01,"8",30.539,27.797,91.0213170044861
"9/15/23","CC","2","18",6.753,0.0397,6.713,0.1232,0.002,26.66,7.468,8.95,"8",30.539,23.826,78.0182717181309
"9/15/23","CC","3","18",23.359,0.1447,23.214,0.2951,0.035,11,6.857,8.28,"8",30.539,7.325,23.9857231736468
"9/15/23","WC","4","18",26.638,0.0851,26.553,0.1163,0.014,8.381,6.742,7.56,"8",30.539,3.986,13.0521628082125
"9/15/23","WC","5","18",23.343,0.023,23.32,0.4873,0.006,11.56,6.988,8.01,"8",30.539,7.219,23.6386260191886
"9/15/23","WC","6","18",24.638,0.1089,24.529,0.136,0.011,10.02,6.969,7.67,"8",30.539,6.01,19.6797537574904
"9/22/23","CC","1","19",4.817,0.5289,4.288,0.0885,0.004,33.64,7.171,8.23,"8",29.011,24.723,85.2193995381062
"9/22/23","CC","2","19",8.18,0.0449,8.135,0.1619,0.005,28.04,7.152,7.57,"8",29.011,20.876,71.9589121367757
"9/22/23","CC","3","19",21.698,0.117,21.581,0.2874,0.034,12.44,6.983,8.24,"8",29.011,7.43,25.6109751473579
"9/22/23","WC","4","19",26.543,0.0678,26.475,0.1521,0.024,9.527,6.812,8.42,"8",29.011,2.536,8.74151184033642
"9/22/23","WC","5","19",24.517,0.059,24.458,0.3699,0.004,11.58,7.104,8.2,"8",29.011,4.553,15.6940470855882
"9/22/23","WC","6","19",24.349,0.18,24.169,0.0886,0.009,11.02,6.971,7.49,"8",29.011,4.842,16.6902209506739
"9/28/23","CC","1","20",10.582,0.3125,10.27,0.0203,NA,32.89,NA,NA,"8",34.919,24.649,70.5890775795412
"9/28/23","CC","2","20",14.059,0.0298,14.029,0.1334,NA,26.18,NA,NA,"8",34.919,20.89,59.8241644949741
"9/28/23","CC","3","20",28.362,0.0925,28.27,0.2013,0.047,11.39,NA,NA,"8",34.919,6.649,19.0412096566339
"9/28/23","WC","4","20",30.017,0.1105,29.906,0.1163,0.002,9.648,NA,NA,"8",34.919,5.013,14.3560812165297
"9/28/23","WC","5","20",29.978,0.033,29.945,0.3334,NA,11.17,NA,NA,"8",34.919,4.974,14.2443941693634
"9/28/23","WC","6","20",30.069,0.2439,29.825,0.053,NA,10.44,NA,NA,"8",34.919,5.094,14.5880466221828
"10/6/23","WC","4","21",23.695,0.1141,23.581,0.3288,0.015,11.67,NA,NA,"16",27.852,4.271,15.3346258796496
"10/6/23","WC","5","21",21.152,0.1023,21.05,0.6963,0.006,14.83,NA,NA,"16",27.852,6.802,24.4219445641247
"10/6/23","WC","6","21",21.214,0.3633,20.85,0.3434,NA,15.38,NA,NA,"16",27.852,7.002,25.1400258509263
"10/13/23","WC","4","22",21.89,0.1413,21.748,0.2925,0.024,12.67,NA,NA,"16",31.376,9.628,30.6858745537991
"10/13/23","WC","5","22",19.37,0.1981,19.172,0.7536,0.01,15.97,NA,NA,"16",31.376,12.204,38.8959714431412
"10/13/23","WC","6","22",21.392,0.2813,21.111,0.2768,0.01,14.39,NA,NA,"16",31.376,10.265,32.7160887302397
"10/27/23","WC","4","23",23.651,0.1109,23.54,0.3686,0.03,11.36,NA,NA,"16",29.147,5.607,19.2369712148763
"10/27/23","WC","5","23",20.731,0.0981,20.633,0.5365,0.02,13.91,NA,NA,"16",29.147,8.514,29.2105534017223
"10/27/23","WC","6","23",21.829,0.9776,20.8514,0.2799,0.093,13.87,NA,NA,"16",29.147,8.2956,28.4612481558994
"11/3/23","WC","4","24",23.777,0.1555,23.621,0.3049,0.023,11.81,NA,NA,"16",30.525,6.904,22.6175266175266
"11/3/23","WC","5","24",18.668,0.1495,18.519,0.6619,0.01,17.46,NA,NA,"16",30.525,12.006,39.3316953316953
"11/3/23","WC","6","24",22.217,0.2702,21.947,0.1627,0.056,13.41,NA,NA,"16",30.525,8.578,28.1015561015561
"11/10/23","WC","4","25",26.523,0.0994,26.423,0.3015,0.028,9.744,NA,NA,"16",31.863,5.44,17.0730941844773
"11/10/23","WC","5","25",20.407,0.1508,20.257,0.5686,0.013,17.32,NA,NA,"16",31.863,11.606,36.4246932178389
"11/10/23","WC","6","25",24.097,0.4392,23.658,0.1486,0.05,12.66,NA,NA,"16",31.863,8.205,25.7508709161096
"11/17/23","WC","4","26",22.861,0.077,22.784,0.5157,0.029,14.07,NA,NA,"16",32.56,9.776,30.02457002457
"11/17/23","WC","5","26",19.11,0.0979,19.012,0.7137,0.014,18.98,NA,NA,"16",32.56,13.548,41.6093366093366
"11/17/23","WC","6","26",23.577,0.2332,23.343,0.1545,0.067,14.93,NA,NA,"16",32.56,9.217,28.3077395577396
"12/1/23","WC","4","27",22.894,0.0758,22.818,0.3593,0.024,10.77,NA,NA,"16",31.18,8.362,26.818473380372
"12/1/23","WC","5","27",20.23,0.1711,20.059,0.6059,0.012,16.6,NA,NA,"16",31.18,11.121,35.6670942912123
"12/1/23","WC","6","27",24.881,0.3356,24.545,0.1578,0.043,12.75,NA,NA,"16",31.18,6.635,21.2796664528544
"12/8/23","CC","1","28",18.763,4.1942,14.5688,5.1408,0.016,86.62,NA,NA,"16",31.532,16.9632,53.796777876443
"12/8/23","CC","2","28",23.871,1.7991,22.0719,0.9976,0.043,55.42,NA,NA,"16",31.532,9.4601,30.0015856907269
"12/8/23","CC","3","28",17.965,1.5901,16.3749,1.053,0.003,53.43,NA,NA,"16",31.532,15.1571,48.0689458328048
"12/8/23","WC","4","28",24.673,0.2102,24.463,0.4662,0.025,11.99,NA,NA,"16",31.532,7.069,22.4184954966383
"12/8/23","WC","5","28",19.446,0.1342,19.312,0.5848,0.014,15.37,NA,NA,"16",31.532,12.22,38.7542813649626
"12/8/23","WC","6","28",24.244,0.2794,23.964,0.1425,0.035,11.73,NA,NA,"16",31.532,7.568,24.0010148420652
