"data_collected","sample_type","bioreactor_ID","influent_id","NOx_conc","NO2_conc","NO3_conc","Ammonia_ammonia_conc","DRP_conc","TOC_conc","pH","DO_conc","HRT","NO3_influent","NO3_removed","removal_efficiency"
"1/28/25","WC","4","1",30.395,0.0485,30.3465,0.0577,NA,5.793,NA,NA,"4",32.197,1.8505,5.74742988477188
"1/28/25","WC","5","1",28.478,0.2817,28.1963,0.0318,NA,6.752,NA,NA,"4",32.197,4.0007,12.425691834643
"1/28/25","WC","6","1",30.542,0.0286,30.5134,0.0561,NA,4.883,NA,NA,"4",32.197,1.6836,5.22905860794485
"1/30/25","WC","4","3",28.388,0.0738,28.3142,0.1193,NA,5.311,NA,NA,"4",29.679,1.3648,4.59853768657973
"1/30/25","WC","5","3",26.608,0.2151,26.3929,0.031,NA,7.597,NA,NA,"4",29.679,3.2861,11.0721385491425
"1/30/25","WC","6","3",29.438,0.0249,29.4131,0.1681,NA,7.579,NA,NA,"4",29.679,0.265899999999998,0.895919673843453
"1/31/25","WC","4","4",27.12,0.0638,27.0562,0.0623,NA,5.456,NA,NA,"4",30.482,3.4258,11.2387638606391
"1/31/25","WC","5","4",26.422,0.205,26.217,0.0371,NA,5.372,NA,NA,"4",30.482,4.265,13.9918640509153
"1/31/25","WC","6","4",27.581,0.0299,27.5511,0.1523,NA,4.64,NA,NA,"4",30.482,2.9309,9.61518273079193
"2/4/25","WC","4","8",25.188,0.0367,25.1513,0.0526,NA,7.044,NA,NA,"4",29.484,4.3327,14.6950888617555
"2/4/25","WC","5","8",26.519,0.1279,26.3911,0.0675,NA,5.874,NA,NA,"4",29.484,3.0929,10.4900963234297
"2/4/25","WC","6","8",27.729,0.0264,27.7026,0.108,NA,6.195,NA,NA,"4",29.484,1.7814,6.04192104192105
"2/5/25","WC","4","9",23.813,0.0576,23.7554,0.0804,NA,7.893,NA,NA,"4",30.943,7.1876,23.2285169505219
"2/5/25","WC","5","9",25.326,0.1457,25.1803,0.0622,NA,5.77,NA,NA,"4",30.943,5.7627,18.6235982290017
"2/5/25","WC","6","9",26.822,0.0398,26.7822,0.0436,NA,4.15,NA,NA,"4",30.943,4.1608,13.4466599877194
"2/7/25","WC","4","11",24.22,0.0844,24.1356,0.0621,NA,7.828,NA,NA,"4",29.439,5.3034,18.0148782227657
"2/7/25","WC","5","11",26.308,0.1618,26.1462,0.0648,NA,6.089,NA,NA,"4",29.439,3.2928,11.1851625394884
"2/7/25","WC","6","11",27.34,0.041,27.299,0.0688,NA,5.446,NA,NA,"4",29.439,2.14,7.26926865722341
"2/10/25","WC","4","14",24.036,0.1343,23.902,0.0695,NA,6.95,NA,NA,"4",30.353,6.451,21.2532533851679
"2/10/25","WC","5","14",25.014,0.2131,24.801,0.126,NA,6.923,NA,NA,"4",30.353,5.552,18.2914374196949
"2/10/25","WC","6","14",27.393,0.0577,27.336,0.0542,NA,4.875,NA,NA,"4",30.353,3.017,9.9397094191678
"2/13/25","WC","4","17",26.237,0.1662,26.0708,0.0456,NA,8.137,NA,NA,"4",32.7682,6.6974,20.4387180254027
"2/13/25","WC","5","17",26.297,0.2294,26.0676,0.112,NA,8.061,NA,NA,"4",32.7682,6.7006,20.4484835907984
"2/13/25","WC","6","17",27.492,0.0456,27.4464,0.0981,NA,5.125,NA,NA,"4",32.7682,5.3218,16.240745600918
