"#OTU ID"	"4CC_1_0"	"4CC_1_11"	"4CC_1_14"	"4CC_1_18"	"4CC_1_7"	"4CC_2_0"	"4CC_2_11"	"4CC_2_14"	"4CC_2_18"	"4CC_2_21"	"4CC_2_4"	"4CC_2_7"	"4CC_3_0"	"4CC_3_11"	"4CC_3_14"	"4CC_3_18"	"4CC_3_4"	"4CC_3_7"	"4WC_4_11"	"4WC_4_14"	"4WC_4_21"	"4WC_4_4"	"4WC_4_8"	"4WC_5_0"	"4WC_5_11"	"4WC_5_14"	"4WC_5_21"	"4WC_5_4"	"4WC_6_0"	"4WC_6_11"	"4WC_6_14"	"4WC_6_18"	"4WC_6_21"	"4WC_6_4"	"CC_1_6"	"CC_1_20"	"CC_1_21"	"CC_1_28"	"CC_1_29"	"CC_1_10"	"CC_1_30"	"CC_1_31"	"CC_1_32"	"CC_1_33"	"CC_1_34"	"CC_1_35"	"CC_1_36"	"CC_1_37"	"CC_1_38"	"CC_1_15"	"CC_2_6"	"CC_2_20"	"CC_2_21"	"CC_2_28"	"CC_2_29"	"CC_2_30"	"CC_2_31"	"CC_2_32"	"CC_2_33"	"CC_2_34"	"CC_2_35"	"CC_2_36"	"CC_2_37"	"CC_2_38"	"CC_2_15"	"CC_3_6"	"CC_3_20"	"CC_3_21"	"CC_3_28"	"CC_3_29"	"CC_3_10"	"CC_3_30"	"CC_3_31"	"CC_3_32"	"CC_3_33"	"CC_3_34"	"CC_3_35"	"CC_3_36"	"CC_3_37"	"CC_3_38"	"CC_3_15"	"WC_4_6"	"WC_4_20"	"WC_4_21"	"WC_4_24"	"WC_4_27"	"WC_4_28"	"WC_4_29"	"WC_4_10"	"WC_4_30"	"WC_4_31"	"WC_4_15"	"WC_5_6"	"WC_5_20"	"WC_5_21"	"WC_5_24"	"WC_5_27"	"WC_5_28"	"WC_5_29"	"WC_5_10"	"WC_5_30"	"WC_5_31"	"WC_5_15"	"WC_6_6"	"WC_6_20"	"WC_6_21"	"WC_6_24"	"WC_6_27"	"WC_6_28"	"WC_6_29"	"WC_6_10"	"WC_6_30"	"WC_6_31"	"WC_6_15"
"ASV1"	734	417	459	1063	819	839	282	751	606	198	1332	1671	6	10	0	22	18	21	30	0	15	35	28	0	0	0	0	0	0	0	0	0	0	61	361	119	226	1454	2989	432	2390	4299	576	791	817	502	293	341	334	308	1462	346	75	683	2693	2742	1641	609	1884	2083	886	699	960	333	1560	821	169	105	893	2698	871	2918	2204	1794	849	503	175	170	65	131	281	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"ASV2"	285	103	130	563	94	822	257	783	761	238	643	583	190	147	322	481	599	583	0	0	0	0	0	15	0	11	0	0	0	0	0	0	0	0	224	67	311	0	77	33	39	70	214	668	394	536	494	812	716	153	54	42	58	8	247	359	317	2204	2079	1350	1000	480	2115	429	41	101	77	78	170	115	48	241	574	564	636	488	287	566	145	192	33	0	0	0	0	35	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	17	45	23	0	0	24	26	0
"ASV4"	360	414	508	889	2310	170	158	204	179	107	218	433	74	118	59	170	278	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	88	153	0	0	0	0	0	246	220	149	108	161	264	521	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	55
"ASV5"	144	0	0	0	0	0	0	0	56	0	0	0	0	80	255	163	263	189	210	173	161	91	121	109	227	357	316	132	372	169	479	446	339	492	0	226	108	0	0	0	0	0	0	0	43	26	104	148	287	119	0	37	426	0	0	0	0	34	66	83	88	255	70	109	44	0	28	0	0	0	0	0	0	56	180	334	266	428	206	244	0	414	543	255	262	149	311	305	455	229	278	368	0	240	191	161	529	214	421	269	350	289	700	961	435	822	376	813	930	539	500	847	909	1148
"ASV6"	0	0	0	0	0	0	23	34	53	24	13	8	0	11	0	27	20	20	344	136	192	184	353	98	376	173	98	166	52	167	104	31	105	116	34	0	0	0	0	0	0	86	642	1127	1860	996	1231	2157	1622	0	194	0	103	0	0	67	221	412	1225	955	1083	1076	813	686	0	826	199	84	0	0	1169	110	356	1107	1226	1248	792	1112	611	976	339	0	0	0	0	0	0	0	0	0	0	27	0	106	110	0	97	113	87	0	83	217	262	0	0	57	0	0	78	0	0	0	143	0
"ASV7"	138	0	0	145	129	251	144	264	275	56	522	778	114	50	0	76	180	78	0	0	0	0	0	20	30	25	30	0	0	0	0	0	0	0	893	246	436	0	223	693	169	677	415	1413	1632	404	927	1263	581	1949	1230	536	187	0	162	127	179	104	627	408	343	409	139	152	1314	1649	1216	354	0	211	2306	434	529	906	789	679	387	796	220	383	1730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
"ASV8"	0	376	986	858	0	0	266	945	1058	466	4	67	0	20	30	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	23	0	0	7	12	0	0	0	0	0	18	39	24	48	34	77	6	0	0	41	0	0	0	0	0	24	53	51	51	50	122	485	0	67	932	320	210	85	130	154	94	283	332	134	114	169	179	132	157	125	119	87	84	103	563	74	95	287	131	434	145	71	56	42	236	255
"ASV9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	262	190	95	81	156	357	486	225	254	248	207	491	315	497	504	0	0	0	872	1638	0	983	1633	1034	1688	3032	1055	1690	1543	1403	0	0	0	0	535	749	552	458	359	1070	749	579	310	224	210	0	430	126	156	907	221	385	534	375	325	239	186	127	157	83	146	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	267	269	499	728	557	255	288	405	46	57	61	78	28	30	127	201	19	33	0	23	48	19	0	28	79	80	62	50	75	71	69	1071	370	359	0	127	93	34	23	126	72	85	66	54	61	389	274	124	111	0	165	265	212	152	161	158	127	82	73	64	102	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
"ASV11"	1111	37	0	0	148	158	0	0	0	0	0	0	271	105	99	125	466	272	47	61	36	228	164	37	24	9	9	12	0	37	16	0	34	24	0	768	2251	0	0	77	0	0	205	658	849	692	736	1184	1210	685	0	1269	479	0	0	0	216	407	1039	1225	1129	937	837	490	233	0	2354	1139	0	0	0	0	0	283	242	329	237	321	242	445	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV12"	10	0	0	0	0	0	0	0	0	0	0	0	0	18	0	10	8	0	72	17	32	32	23	178	33	0	0	11	4	10	0	0	6	0	0	0	0	0	70	0	0	0	106	184	293	72	109	126	148	0	0	0	0	43	194	121	279	180	513	373	362	361	93	212	0	0	43	0	333	573	0	567	1026	1219	1768	1377	849	1404	900	1192	0	0	0	0	0	0	0	0	0	0	0	0	255	85	60	29	0	63	88	90	0	62	168	0	0	0	0	0	0	0	0	0	0	0
